DELIVERY,OPEN,HIGH,LOW,LAST,CHANGE,SETTLE,VOLUME,OPEN INTEREST
Q3 2026,51.05,53.25,51.00,53.25,3.17,53.18,134,4802
Q4 2026,70.50,70.90,70.50,70.75,2.16,70.75,37,4200
Q1 2027,78.46,78.46,78.00,78.30,1.50,78.26,13,989
Q2 2027,35.02,35.20,34.79,35.20,1.00,35.20,16,238
Q3 2027,26.90,27.00,26.60,26.60,0.00,26.98,11,223
Q4 2027,51.50,51.50,51.00,51.00,0.07,51.00,7,310
Q1 2028,68.35,68.35,68.35,68.35,0.25,68.35,3,100
Q2 2028,0.00,0.00,0.00,0.00,N/A,31.85,0,20
Q3 2028,0.00,0.00,0.00,0.00,N/A,24.85,0,34
Q4 2028,0.00,0.00,0.00,0.00,N/A,49.33,0,67
,,,,,,Total,221,10983
