DELIVERY,OPEN,HIGH,LOW,LAST,CHANGE,SETTLE,VOLUME,OPEN INTEREST
2027,47.25,47.65,47.25,47.65,0.97,47.65,51,3448
2028,43.50,43.50,43.50,43.50,0.27,43.50,49,1533
2029,0.00,0.00,0.00,0.00,N/A,43.38,3,559
2030,0.00,0.00,0.00,0.00,N/A,45.83,0,280
2031,0.00,0.00,0.00,0.00,N/A,46.50,0,144
2032,0.00,0.00,0.00,0.00,N/A,47.88,0,53
2033,0.00,0.00,0.00,0.00,N/A,48.38,0,1
2034,0.00,0.00,0.00,0.00,N/A,48.88,0,1
2035,0.00,0.00,0.00,0.00,N/A,49.13,0,0
2036,0.00,0.00,0.00,0.00,N/A,49.38,0,0
,,,,,,Total,103,6019
