DELIVERY,OPEN,HIGH,LOW,LAST,CHANGE,SETTLE,VOLUME,OPEN INTEREST,Product,ProductCode,LoadDate
2027,-1.95,-1.95,-2.05,-2.05,-0.30,-2.05,6,658,HLBY,HLBY-27,2026-05-11
2028,0.00,0.00,0.00,0.00,N/A,0.16,0,304,HLBY,HLBY-28,2026-05-11
2029,0.00,0.00,0.00,0.00,N/A,1.08,0,77,HLBY,HLBY-29,2026-05-11
2030,0.00,0.00,0.00,0.00,N/A,0.82,0,0,HLBY,HLBY-30,2026-05-11
Q3 2026,-7.00,-7.00,-7.00,-7.00,-0.75,-7.00,27,825,HLBQ,HLBQ3-26,2026-05-11
Q4 2026,-2.15,-2.15,-2.15,-2.15,-0.25,-2.15,2,893,HLBQ,HLBQ4-26,2026-05-11
Q1 2027,0.50,0.50,0.50,0.50,-0.30,0.50,3,109,HLBQ,HLBQ1-27,2026-05-11
Q2 2027,0.00,0.00,0.00,0.00,N/A,-3.78,0,2,HLBQ,HLBQ2-27,2026-05-11
May 2026,0.00,0.00,0.00,0.00,N/A,-20.90,0,1071,HLBM,HLBMMAY-26,2026-05-11
Jun 2026,-16.80,-16.80,-16.80,-16.80,0.00,-16.80,3,953,HLBM,HLBMJUN-26,2026-05-11
Jul 2026,0.00,0.00,0.00,0.00,N/A,-14.40,0,70,HLBM,HLBMJUL-26,2026-05-11
Aug 2026,-8.50,-8.50,-8.50,-8.50,-0.71,-8.50,2,13,HLBM,HLBMAUG-26,2026-05-11
2027,48.23,48.25,48.10,48.25,0.69,48.40,25,3561,NSBY,NSBY-27,2026-05-11
2028,43.70,43.70,43.70,43.70,0.45,43.75,12,1563,NSBY,NSBY-28,2026-05-11
2029,0.00,0.00,0.00,0.00,N/A,43.50,0,591,NSBY,NSBY-29,2026-05-11
2030,0.00,0.00,0.00,0.00,N/A,45.50,0,282,NSBY,NSBY-30,2026-05-11
2031,0.00,0.00,0.00,0.00,N/A,46.95,0,145,NSBY,NSBY-31,2026-05-11
2032,0.00,0.00,0.00,0.00,N/A,48.38,0,53,NSBY,NSBY-32,2026-05-11
2033,0.00,0.00,0.00,0.00,N/A,48.88,0,1,NSBY,NSBY-33,2026-05-11
2034,0.00,0.00,0.00,0.00,N/A,49.38,0,1,NSBY,NSBY-34,2026-05-11
2035,0.00,0.00,0.00,0.00,N/A,49.88,0,0,NSBY,NSBY-35,2026-05-11
2036,0.00,0.00,0.00,0.00,N/A,50.13,0,0,NSBY,NSBY-36,2026-05-11
Q3 2026,58.45,60.25,58.45,60.00,3.10,60.00,151,5025,NSBQ,NSBQ3-26,2026-05-11
Q4 2026,74.50,75.15,74.50,75.00,2.62,75.00,101,4301,NSBQ,NSBQ4-26,2026-05-11
Q1 2027,79.65,80.00,79.40,79.85,1.75,79.85,47,931,NSBQ,NSBQ1-27,2026-05-11
Q2 2027,36.20,36.20,36.20,36.20,0.55,36.57,1,267,NSBQ,NSBQ2-27,2026-05-11
Q3 2027,27.70,27.70,27.70,27.70,0.90,27.70,1,238,NSBQ,NSBQ3-27,2026-05-11
Q4 2027,0.00,0.00,0.00,0.00,N/A,51.33,0,321,NSBQ,NSBQ4-27,2026-05-11
Q1 2028,0.00,0.00,0.00,0.00,N/A,68.50,0,114,NSBQ,NSBQ1-28,2026-05-11
Q2 2028,0.00,0.00,0.00,0.00,N/A,32.32,0,20,NSBQ,NSBQ2-28,2026-05-11
Q3 2028,0.00,0.00,0.00,0.00,N/A,25.25,0,34,NSBQ,NSBQ3-28,2026-05-11
Q4 2028,0.00,0.00,0.00,0.00,N/A,49.75,0,67,NSBQ,NSBQ4-28,2026-05-11
May 2026,78.00,82.00,78.00,82.00,9.50,80.75,21,4794,NSBM,NSBMMAY-26,2026-05-11
Jun 2026,59.50,61.35,59.50,61.35,3.90,61.28,353,5004,NSBM,NSBMJUN-26,2026-05-11
Jul 2026,52.00,53.55,52.00,53.55,3.25,53.55,34,391,NSBM,NSBMJUL-26,2026-05-11
Aug 2026,58.60,58.60,58.60,58.60,2.75,59.00,1,219,NSBM,NSBMAUG-26,2026-05-11
Sep 2026,0.00,0.00,0.00,0.00,N/A,67.25,0,118,NSBM,NSBMSEP-26,2026-05-11
Oct 2026,0.00,0.00,0.00,0.00,N/A,66.00,0,45,NSBM,NSBMOCT-26,2026-05-11
Nov 2026,0.00,0.00,0.00,0.00,N/A,76.18,0,5,NSBM,NSBMNOV-26,2026-05-11
